energies[eV] proba(E)
0.0 2.73550365624e-06 
0.00500250125063 2.05035634612e-05 
0.0100050025013 0.000115148988363 
0.0150075037519 0.000537162609296 
0.0200100050025 0.00219826345575 
0.0250125062531 0.0074681631746 
0.0300150075038 0.00742287134501 
0.0350175087544 0.0218866934356 
0.040020010005 0.0217538115731 
0.0450225112556 0.0542205573521 
0.0500250125063 0.0538909757431 
0.0550275137569 0.11709240887 
0.0600300150075 0.11637973543 
0.0650325162581 0.216346115519 
0.0700350175088 0.215027409862 
0.0750375187594 0.344535876815 
0.08004002001 0.342432178557 
0.0850425212606 0.468263859811 
0.0900450225113 0.465398595045 
0.0950475237619 0.462549905646 
0.100050025013 0.545730437962 
0.105052526263 0.542380989322 
0.110055027514 0.539051044937 
0.115057528764 0.565685582378 
0.120060030015 0.562200766553 
0.125062531266 0.562047616214 
0.130065032516 0.55857242921 
0.135067533767 0.555117801448 
0.140070035018 0.581654968741 
0.145072536268 0.578047704294 
0.150075037519 0.574461917456 
0.155077538769 0.648090180021 
0.16008004002 0.644064523617 
0.165082541271 0.640062917148 
0.170085042521 0.636085228979 
0.175087543772 0.719063799941 
0.180090045023 0.71458998553 
0.185092546273 0.710142991169 
0.190095047524 0.757248588285 
0.195097548774 0.752527011696 
0.200100050025 0.747833869193 
0.205102551276 0.75921147987 
0.210105052526 0.754465487631 
0.215107553777 0.749748230269 
0.220110055028 0.7450595456 
0.225112556278 0.761116291033 
0.230115057529 0.75634840922 
0.235117558779 0.751609521376 
0.24012006003 0.746899462235 
0.245122561281 0.779971025445 
0.250125062531 0.775078827619 
0.255127563782 0.770216459008 
0.260130065033 0.793465842437 
0.265132566283 0.788482733556 
0.270135067534 0.783530087978 
0.275137568784 0.77860772999 
0.280140070035 0.781196457516 
0.285142571286 0.776280855489 
0.290145072536 0.771395424948 
0.295147573787 0.766539990323 
0.300150075038 0.772571947713 
0.305152576288 0.767702287483 
0.310155077539 0.76286262238 
0.315157578789 0.758052776508 
0.32016008004 0.783089806035 
0.325162581291 0.778148488074 
0.330165082541 0.773237675137 
0.335167583792 0.768357187455 
0.340170085043 0.795055202454 
0.345172586293 0.790032750145 
0.350175087544 0.785041375555 
0.355177588794 0.78008089462 
0.360180090045 0.775151124256 
0.365182591296 0.792166946551 
0.370185092546 0.787154679027 
0.375187593797 0.782173528426 
0.380190095048 0.777223309148 
0.385192596298 0.798399561767 
0.390195097549 0.793341416352 
0.395197598799 0.788314754438 
0.40020010005 0.783319387196 
0.405202601301 0.77835512684 
0.410205102551 0.808375969357 
0.415207603802 0.803250097398 
0.420210105053 0.798156188284 
0.425212606303 0.793094049569 
0.430215107554 0.814801018114 
0.435217608804 0.809630259595 
0.440220110055 0.804491796827 
0.445222611306 0.799385434676 
0.450225112556 0.794310979105 
0.455227613807 0.794165907717 
0.460230115058 0.789119809712 
0.465232616308 0.784105308846 
0.470235117559 0.779122213187 
0.475237618809 0.774170331892 
0.48024012006 0.784590791421 
0.485242621311 0.779599665112 
0.490245122561 0.774639866318 
0.495247623812 0.769711203795 
0.500250125063 0.764813487396 
0.505252626313 0.788560720367 
0.510255127564 0.783540742477 
0.515257628814 0.778552319134 
0.520260130065 0.773595257117 
0.525262631316 0.768669364326 
0.530265132566 0.786484578978 
0.535267633817 0.78147516795 
0.540270135068 0.776497279018 
0.545272636318 0.771550718724 
0.550275137569 0.766635294733 
0.555277638819 0.78475711831 
0.56028014007 0.779755051217 
0.565282641321 0.774784506681 
0.570285142571 0.769845290643 
0.575287643822 0.76493721018 
0.580290145073 0.778241709328 
0.585292646323 0.773276792046 
0.590295147574 0.768343218959 
0.595297648824 0.763440796397 
0.600300150075 0.75856933183 
0.605302651326 0.761424317237 
0.610305152576 0.756563182706 
0.615307653827 0.751732781892 
0.620310155078 0.746932924325 
0.625312656328 0.742163420666 
0.630315157579 0.737424082701 
0.635317658829 0.742038536818 
0.64032016008 0.737298686645 
0.645322661331 0.732588835149 
0.650325162581 0.727908796007 
0.655327663832 0.72325838401 
0.660330165083 0.738935411969 
0.665332666333 0.73421335036 
0.670335167584 0.729521200889 
0.675337668834 0.724858777435 
0.680340170085 0.720225894995 
0.685342671336 0.715622369672 
0.690345172586 0.734725705224 
0.695347673837 0.730027572717 
0.700350175088 0.725359238679 
0.705352676338 0.720720517211 
0.710355177589 0.716111223537 
0.715357678839 0.711531173996 
0.72036018009 0.723177288862 
0.725362681341 0.718550035848 
0.730365182591 0.713952169544 
0.735367683842 0.709383506142 
0.740370185093 0.704843862943 
0.745372686343 0.708330482353 
0.750375187594 0.703796449036 
0.755377688844 0.699291233155 
0.760380190095 0.694814654169 
0.765382691346 0.690366532633 
0.770385192596 0.685946690198 
0.775387693847 0.686167419135 
0.780390195098 0.681773870312 
0.785392696348 0.677408263769 
0.790395197599 0.673070424219 
0.795397698849 0.668760177446 
0.8004002001 0.664477350293 
0.805402701351 0.664273217963 
0.810405202601 0.660018093014 
0.815407703852 0.655790052559 
0.820410205103 0.651588926404 
0.825412706353 0.647414545396 
0.830415207604 0.643266741418 
0.835417708854 0.645643336407 
0.840420210105 0.641505477251 
0.845422711356 0.637393982605 
0.850425212606 0.633308686462 
0.855427713857 0.629249423835 
0.860430215108 0.625216030752 
0.865432716358 0.631161921469 
0.870435217609 0.627115291412 
0.875437718859 0.623094464803 
0.88044022011 0.619099278908 
0.885442721361 0.615129571999 
0.890445222611 0.611185183344 
0.895447723862 0.607265953202 
0.900450225113 0.61061768596 
0.905452726363 0.606701660693 
0.910455227614 0.602810620338 
