energy(eV) events_nbr
0.005 1.63027785369e-05
0.015 1.96053690453e-05
0.025 2.24986390952e-05
0.035 2.47554922394e-05
0.045 2.62981685662e-05
0.055 2.72280920536e-05
0.065 2.77975446662e-05
0.075 2.83292703434e-05
0.085 2.91122755961e-05
0.095 3.03128021857e-05
0.105 3.19331004265e-05
0.115 3.3830219582e-05
0.125 3.5782473134e-05
0.135 3.7573827442e-05
0.145 3.90629443942e-05
0.155 4.02134322193e-05
0.165 4.1078863673e-05
0.175 4.17528276275e-05
0.185 4.230552086e-05
0.195 4.27321743678e-05
0.205 4.29348138991e-05
0.215 4.27480318252e-05
0.225 4.20034048142e-05
0.235 4.06104479491e-05
0.245 3.86216452067e-05
0.255 3.62516623024e-05
0.265 3.38376824624e-05
0.275 3.17526457423e-05
0.285 3.03044508329e-05
0.295 2.96611982707e-05
0.305 2.98316011159e-05
0.315 3.07060966643e-05
0.325 3.21392670311e-05
0.335 3.40392909105e-05
0.345 3.64316388923e-05
0.355 3.94813462266e-05
0.365 4.34839600994e-05
0.375 4.88586492608e-05
0.385 5.61857407841e-05
0.395 6.63155790862e-05
0.405 8.05348271689e-05
0.415 0.000100722535297
0.425 0.000129388143161
0.435 0.000169489447266
0.445 0.000224001240207
0.455 0.000295335441225
0.465 0.000384853750285
0.475 0.000492790661813
0.485 0.000618848685738
0.495 0.000763510689833
0.505 0.000929777616286
0.515 0.00112470103723
0.525 0.00135991202732
0.535 0.00165052434503
0.545 0.00201239563565
0.555 0.00245865532417
0.565 0.0029972859191
0.575 0.0036318254488
0.585 0.00436646685623
0.595 0.00521493463241
0.605 0.00621019128848
0.615 0.00741051572491
0.625 0.00889802915664
0.635 0.0107686979398
0.645 0.0131172101079
0.655 0.0160237624765
0.665 0.0195504968844
0.675 0.0237521392488
0.685 0.0286993941697
0.695 0.0345075521919
0.705 0.041359631657
0.715 0.0495150896861
0.725 0.0593014813054
0.735 0.0710949755952
0.745 0.0853022226027
0.755 0.102356138401
0.765 0.122728967123
0.775 0.146949425781
0.785 0.175595267429
0.795 0.2092310128
0.805 0.248282911802
0.815 0.292887441269
0.825 0.342797391176
0.835 0.397451870694
0.845 0.456289359763
0.855 0.519303323753
0.865 0.587731595483
0.875 0.664674142339
0.885 0.755387357235
0.895 0.867028160358
0.905 1.00771981365
0.915 1.18497062043
0.925 1.40367083945
0.935 1.6640777297
0.945 1.96030863641
0.955 2.27983061491
0.965 2.6042336734
0.975 2.91124811007
0.985 3.17762824018
0.995 3.38230367448
1.005 3.50916856082
1.015 3.54902174186
1.025 3.50040427235
1.035 3.36931824363
1.045 3.16800524079
1.055 2.91310420817
1.065 2.62359150436
1.075 2.31890810914
1.085 2.01757657876
1.095 1.73641453094
1.105 1.49022610583
1.115 1.29169141124
1.125 1.15114817348
1.135 1.07607783496
1.145 1.07031082929
1.155 1.1331596949
1.165 1.25879427533
1.175 1.43615649305
1.185 1.64959023888
1.195 1.88018598054
1.205 2.10766888343
1.215 2.31253858572
1.225 2.47811894692
1.235 2.59219588933
1.245 2.64799786659
1.255 2.64439098169
1.265 2.58530348698
1.275 2.47854173378
1.285 2.3342816493
1.295 2.16357978073
1.305 1.97721506183
1.315 1.78504074511
1.325 1.59582941216
1.335 1.41740524689
1.345 1.2567619493
1.355 1.1199149779
1.365 1.01141636519
1.375 0.933680300035
1.385 0.886412133292
1.395 0.866427393329
1.405 0.868001574119
1.415 0.88369195627
1.425 0.905422665205
1.435 0.925580656085
1.445 0.937920348941
1.455 0.938161484484
1.465 0.924237890019
1.475 0.896202495301
1.485 0.855836092423
1.495 0.806060914437
1.505 0.7503110284
1.515 0.692020809882
1.525 0.634332824748
1.535 0.580015008898
1.545 0.531475122229
1.555 0.490731331973
1.565 0.459258983643
1.575 0.437742303268
1.585 0.425844361019
1.595 0.422120603261
1.605 0.424145317773
1.615 0.428841515085
1.625 0.4329479037
1.635 0.433535625721
1.645 0.428486269154
1.655 0.41684295731
1.665 0.398950531542
1.675 0.376329259884
1.685 0.351291594959
1.695 0.326396047116
1.705 0.303893978789
1.715 0.285326162775
1.725 0.271362019276
1.735 0.261879185327
1.745 0.256202370765
1.755 0.253389431122
1.765 0.252469329648
1.775 0.252579812411
1.785 0.252999315262
1.795 0.253105194888
1.805 0.25231371536
1.815 0.25006110932
1.825 0.245863844475
1.835 0.239452420981
1.845 0.230923875426
1.855 0.220830174117
1.865 0.210132160774
1.875 0.199999559237
1.885 0.191503225466
1.895 0.185295840794
1.905 0.181390842205
1.915 0.179123407775
1.925 0.177322475531
1.935 0.174656023551
1.945 0.170051770831
1.955 0.163060821659
1.965 0.154038102847
1.975 0.144065571129
1.985 0.134629329433
1.995 0.127150590681
2.005 0.122528008632
2.015 0.120850654322
2.025 0.121383788983
2.035 0.122833415878
2.045 0.123795292694
2.055 0.123226843672
2.065 0.120772365607
2.075 0.116827892539
2.085 0.112332018083
2.095 0.108374036678
2.105 0.105778450404
2.115 0.104827343059
2.125 0.105218931804
2.135 0.106259442935
2.145 0.107190050756
2.155 0.107501549908
2.165 0.107106311562
2.175 0.106309862737
2.185 0.105617979538
2.195 0.105485550756
2.205 0.106128874517
2.215 0.107479387554
2.225 0.109279388148
2.235 0.111250323116
2.245 0.113236936199
2.255 0.115256783415
2.265 0.117445573813
2.275 0.119947699913
2.285 0.122824851462
2.295 0.126033129513
2.305 0.129468220585
2.315 0.13303315889
2.325 0.136672858384
2.335 0.140349006768
2.345 0.143976411621
2.355 0.147373851455
2.365 0.150276280229
2.375 0.152414833679
2.385 0.153624383003
2.395 0.153917752015
2.405 0.153485318686
2.415 0.15262472857
2.425 0.151646247095
2.435 0.150808177797
2.445 0.150310459014
2.455 0.150333997698
2.465 0.151087302449
2.475 0.152826441141
2.485 0.155842725701
2.495 0.160443067076
2.505 0.166960133786
2.515 0.175816322319
2.525 0.187634212708
2.535 0.203349815243
2.545 0.224255596609
2.555 0.251888457583
2.565 0.287695357433
2.575 0.332467633678
2.585 0.38563451006
2.595 0.444621771722
2.605 0.504559523344
2.615 0.558600306143
2.625 0.598951546939
2.635 0.618465498342
2.645 0.61236718541
2.655 0.579567652613
2.665 0.523095070464
2.675 0.449466967803
2.685 0.367202554558
2.695 0.284966521763
2.705 0.209919221982
2.715 0.146704632199
2.725 0.0972267041762
2.735 0.0610850526923
2.745 0.0363732259806
2.755 0.020523177024
2.765 0.0109716786027
2.775 0.0055573015099
2.785 0.00266751182292
2.795 0.00121424232248
2.805 0.00052519048295
2.815 0.000217002044294
2.825 8.68987087055e-05
2.835 3.50135170424e-05
2.845 1.54308453756e-05
2.855 8.40372538537e-06
2.865 5.97529425152e-06
2.875 5.13614620037e-06
2.885 4.81435004014e-06
2.895 4.64796463174e-06
2.905 4.52023797473e-06
2.915 4.3954618164e-06
2.925 4.26376254817e-06
2.935 4.12244465513e-06
2.945 3.9696368823e-06
2.955 3.80311090651e-06
2.965 3.62178398263e-06
2.975 3.42792502556e-06
2.985 3.2281450656e-06
2.995 3.03210382951e-06
3.005 2.84929693851e-06
3.015 2.68547717565e-06
3.025 2.54052542487e-06
3.035 2.40883217305e-06
3.045 2.28197004799e-06
3.055 2.15234908871e-06
3.065 2.01617791347e-06
3.075 1.87451017766e-06
3.085 1.73213481868e-06
3.095 1.59506132842e-06
3.105 1.46789628606e-06
