energy(eV) events_nbr
0.005 0.000110871198425
0.015 0.000132867222498
0.025 0.000151616078484
0.035 0.000165316331778
0.045 0.000173110798326
0.055 0.000175298906202
0.065 0.000173168180158
0.075 0.000168487766234
0.085 0.000162854816212
0.095 0.000157153777864
0.105 0.000151341047649
0.115 0.000144623803524
0.125 0.000135931763262
0.135 0.000124465222953
0.145 0.000110091958906
0.155 9.34545752878e-05
0.165 7.57864810477e-05
0.175 5.85511775302e-05
0.185 4.30686569527e-05
0.195 3.02674068471e-05
0.205 2.06291639917e-05
0.215 1.43174893527e-05
0.225 1.14304227281e-05
0.235 1.22983010753e-05
0.245 1.77472216613e-05
0.255 2.92492668673e-05
0.265 4.88769115379e-05
0.275 7.89846483503e-05
0.285 0.000121582246124
0.295 0.000177461121729
0.305 0.000245277800759
0.315 0.00032093348273
0.325 0.000397634854913
0.335 0.00046691130752
0.345 0.000520595825014
0.355 0.00055343733173
0.365 0.000565741352173
0.375 0.000565346689687
0.385 0.000568350167438
0.395 0.000598195342477
0.405 0.000682930155252
0.415 0.000850596239891
0.425 0.00112296641742
0.435 0.00150836853034
0.445 0.00199513303157
0.455 0.00254796786036
0.465 0.00310973102072
0.475 0.00361015138305
0.485 0.0039810581241
0.495 0.00417533041348
0.505 0.00418519066778
0.515 0.00405547736397
0.525 0.00388905851356
0.535 0.00384348484858
0.545 0.00411892516785
0.555 0.00493679570571
0.565 0.00650731560612
0.575 0.00898479695952
0.585 0.0124138521313
0.595 0.0166776647307
0.605 0.02146753984
0.615 0.0262955058175
0.625 0.0305643264861
0.635 0.0336923323306
0.645 0.0352707462658
0.655 0.0352189378257
0.665 0.0339057834834
0.675 0.0322216193737
0.685 0.0316034611183
0.695 0.0340201257999
0.705 0.0419041370038
0.715 0.057981214859
0.725 0.0849222416836
0.735 0.124761988291
0.745 0.178115712127
0.755 0.243364825692
0.765 0.31611657037
0.775 0.389283972047
0.785 0.45401597124
0.795 0.501442019126
0.805 0.524884683996
0.815 0.521999451033
0.825 0.4963511875
0.835 0.458232097554
0.845 0.424904611918
0.855 0.420653178168
0.865 0.476832156875
0.875 0.631481931619
0.885 0.927318546874
0.895 1.40649556207
0.905 2.10104342095
0.915 3.01957378995
0.925 4.13333690435
0.935 5.36696199219
0.945 6.59973651485
0.955 7.68102732112
0.965 8.45860559405
0.975 8.81298117215
0.985 8.68710460516
0.995 8.10119293505
1.005 7.14730155951
1.015 5.96559085995
1.025 4.71066985774
1.035 3.51908346678
1.045 2.48710490955
1.055 1.66293876304
1.065 1.05190377787
1.075 0.629496580735
1.085 0.356392320466
1.095 0.190888998664
1.105 0.0967277448992
1.115 0.0463701847443
1.125 0.021030238111
1.135 0.00902333651202
1.145 0.00366275372331
1.155 0.00140658468122
1.165 0.000511024413497
1.175 0.000175644685551
1.185 5.71144474775e-05
1.195 1.75701126515e-05
1.205 5.11352887362e-06
1.215 1.40794107594e-06
1.225 3.66746389178e-07
1.235 9.03784344722e-08
1.245 2.1070817335e-08
1.255 4.6474588218e-09
1.265 9.69766815914e-10
1.275 1.9144176431e-10
1.285 3.57539194477e-11
1.295 6.31725237012e-12
1.305 1.0559671234e-12
1.315 1.66989885677e-13
1.325 2.49831697079e-14
1.335 3.5360834787e-15
1.345 4.73494654637e-16
1.355 5.99825952444e-17
1.365 7.18874410346e-18
1.375 8.15076546777e-19
1.385 8.74301794146e-20
1.395 8.87241694785e-21
1.405 8.51804865071e-22
1.415 7.73670237203e-23
1.425 6.64797326434e-24
1.435 5.40430982364e-25
1.445 4.15631843599e-26
1.455 3.02409192701e-27
1.465 2.08160711843e-28
1.475 1.3555643546e-29
1.485 8.3513967561e-31
1.495 4.86760908637e-32
1.505 2.68404547744e-33
1.515 1.40017283435e-34
