1.00 -.508065352
1.25 -.598123430
1.35 -.618518890
1.50 -.638998978
1.65 -.651066009
1.75 -.655856307
1.80 -.657505520
1.85 -.658738053
1.90 -.659605288
1.95 -.660152776
2.00 -.660420987
2.05 -.660446106
2.10 -.660260768
2.15 -.659894598
2.20 -.659374906
2.25 -.658727213
2.30 -.657975967
2.40 -.656259590
2.50 -.654432340
2.60 -.652759287
2.65 -.652099460
2.70 -.651648217
2.75 -.651493693
2.80 -.651729780
2.85 -.652428656
2.90 -.653599566
2.95 -.655161539
3.00 -.656954395
3.05 -.658779039
3.10 -.660438559
3.15 -.661769169
3.20 -.662664579
3.25 -.663091017
3.30 -.663080939
3.35 -.662706933
3.40 -.662052286
3.45 -.661192208
3.50 -.660187109
3.60 -.657913118
3.70 -.655470968
3.75 -.654230637
4.00 -.648194703
4.50 -.638288040
5.00 -.631795202
5.50 -.628074142
6.00 -.626141165
6.50 -.625204959
7.00 -.624779715
7.50 -.624605043
7.75 -.624567581
8.00 -.624549788
8.25 -.624545247
8.50 -.624549484
9.00 -.624572779
9.50 -.624604562
10.0 -.624637662
11.0 -.624696159
12.0 -.624738474
13.0 -.624762995
14.0 -.624771313
15.0 -.624773139
20.0 -.624866924
